date,title_neg,title_neu,title_pos,title_compound,content_neg,content_neu,content_pos,content_compound,comments_neg,comments_neu,comments_pos,comments_compound
2023-06-21,0.0,1.0,0.0,0.0,0.026,0.956,0.019,-0.0258,0.0,0.0,0.0,0.0
2023-06-21,0.0,1.0,0.0,0.0,0.01,0.921,0.069,0.8316,0.0,0.446,0.554,0.7351
2023-06-19,0.0,1.0,0.0,0.0,0.024,0.928,0.047,0.4404,0.0,0.819,0.181,0.6249
2023-06-16,0.0,1.0,0.0,0.0,0.039,0.92,0.041,0.3612,0.0,0.0,0.0,0.0
2023-06-15,0.0,1.0,0.0,0.0,0.046,0.94,0.014,-0.6597,0.0,0.0,0.0,0.0
2023-06-14,0.0,1.0,0.0,0.0,0.037,0.908,0.055,0.7906,0.0,0.0,0.0,0.0
2023-06-13,0.0,1.0,0.0,0.0,0.021,0.912,0.067,0.9403,0.0,0.0,0.0,0.0
2023-06-12,0.0,1.0,0.0,0.0,0.046,0.867,0.087,0.9545,0.0,0.0,0.0,0.0
2023-06-07,0.0,1.0,0.0,0.0,0.047,0.93,0.023,-0.5719,0.416,0.584,0.0,-0.6908
2023-06-06,0.0,0.784,0.216,0.296,0.029,0.898,0.074,0.765,0.0,0.0,0.0,0.0
